Title,Artist,love,breakup,party,ambition,nostalgia,heartbreak,friendship,betrayal,happiness,sadness,hope,anger,revenge,loneliness,celebration,motivation,reflection,peace
Texas Hold 'Em,Beyonce,0.07769036,0.00085224234,0.22478175,0.068485774,0.04671861,0.09446524,0.48700598,,,,,,,,,,,
Tore Up,Don Toliver,0.1170033,0.006203757,0.005575108,0.10740845,0.20656414,0.20480408,0.3524412,,,,,,,,,,,
Belong Together,Mark Ambor,0.003741466,0.00060803496,0.0017201562,0.8998151,0.038704347,0.019311287,0.03609973,,,,,,,,,,,
Your Place,Ashley Cooke,0.03306629,0.0055796704,0.005003268,0.08658983,0.18918383,0.53612775,0.14444935,,,,,,,,,,,
After Hours,Kehlani,0.038550343,0.0017793586,0.0124514755,0.609071,0.15760782,0.101599,0.07894099,,,,,,,,,,,
360,Charli XCX,0.023452824,0.0010406276,0.049652994,0.053802177,0.049418442,0.012743667,0.80988926,,,,,,,,,,,
Who's Afraid Of Little Old Me?,Taylor Swift,0.021134567,0.0017268677,0.39989045,0.033281654,0.015999,0.5090021,0.018965408,,,,,,,,,,,
Blue,Billie Eilish,0.010517981,0.0010310272,0.4202559,0.01641412,0.024093498,0.36995208,0.15773535,,,,,,,,,,,
Beautiful As You,Thomas Rhett,0.017359585,0.0022993304,0.0062973574,0.27744275,0.2825436,0.123576224,0.29048112,,,,,,,,,,,
Burgundy,$uicideboy$,0.045596886,0.0036957578,0.009523536,0.1958862,0.22328974,0.33365154,0.18835631,,,,,,,,,,,
Hell N Back,Bakar Featuring Summer Walker,0.04729974,0.015782194,0.05130912,0.061921317,0.44007993,0.24661104,0.13699667,,,,,,,,,,,
Guilty As Sin?,Taylor Swift,0.14035065,0.0010920315,0.016028408,0.031611376,0.036954932,0.7437909,0.030171726,,,,,,,,,,,
Enough (Miami),Cardi B,0.16627151,0.006566173,0.008532461,0.10281236,0.49778995,0.1326227,0.08540485,,,,,,,,,,,
Pink Pony Club,Chappell Roan,0.0211811,0.0009590182,0.0040940414,0.3750022,0.09504112,0.060703535,0.44301903,,,,,,,,,,,
Thorns,$uicideboy$,0.2040324,0.014868082,0.041187253,0.07966839,0.3901867,0.07544391,0.19461322,,,,,,,,,,,
Ice Age,Don Toliver Featuring Travis Scott,0.018748296,0.0007965738,0.0023725124,0.011578901,0.026628705,0.010249088,0.9296259,,,,,,,,,,,
Take Her Home,Kenny Chesney,0.045635685,0.0020218976,0.014672803,0.3513685,0.46145958,0.023589242,0.10125221,,,,,,,,,,,
Let Your Boys Be Country,Jason Aldean,0.2880327,0.003748392,0.014096895,0.14243646,0.4744756,0.049336005,0.027873993,,,,,,,,,,,
Front Door Famous,Luke Combs,0.014648884,0.0024461902,0.0044993376,0.089672595,0.32867494,0.17467912,0.3853789,,,,,,,,,,,
Spin You Around (1/24),Morgan Wallen,0.3940953,0.0073499973,0.020676252,0.037757527,0.09885012,0.38124236,0.06002843,,,,,,,,,,,
Get In With Me,BossMan DLow,0.43768096,0.0071459464,0.012169552,0.06596698,0.07458616,0.3286449,0.073805496,,,,,,,,,,,
Kryptonite,Don Toliver,0.077070855,0.0033271858,0.52764356,0.04128921,0.19034246,0.04211498,0.11821181,,,,,,,,,,,
Chevrolet,Dustin Lynch Featuring Jelly Roll,0.0052622342,0.0006117227,0.003505606,0.008314012,0.023711184,0.0028462538,0.955749,,,,,,,,,,,
